gene	baseMean	log2FoldChange	lfcSE	svalue	significative	up
100170229	51.0549643888703	-9.63466649158241	3.00301357556426	0.00043302766932194	yes	control
57697	52.4925444305415	8.67372112965707	3.00293849562332	0.00108238640876327	yes	TBCK
7080	58.7464541913822	6.81005987428768	1.73710335810137	4.39219004302277e-05	yes	TBCK
644172	20.6207223633277	6.62220169186325	3.11634436784409	0.00790378600206252	no	TBCK
55997	16.2199741810314	6.27182288763288	2.99001761680215	0.00861481071003319	no	TBCK
3219	17.3712234449256	6.20327697688959	3.16409416584623	0.0120026552433184	no	TBCK
107984037	47.0558840627252	-5.86681609149982	1.13569748447739	5.80032474550851e-07	yes	control
112268049	14.6463792023999	5.77020063570559	3.23004739207826	0.0172996704190326	no	TBCK
414224	89.0971596414995	-5.07417001287761	0.821144448076416	1.27018096041098e-08	yes	control
165257	35.7474937880747	4.91331880137858	1.67491258742002	0.00123863836744915	yes	TBCK
1644	23.0086806621376	4.67027541445734	1.73745885740884	0.00237884832236493	yes	TBCK
23440	145.123721418748	4.51845473119136	1.34950993076512	0.000505813817767986	yes	TBCK
26468	40.7256896022405	4.19192082344214	1.28973164821461	0.00061217538611367	yes	TBCK
799	18.4314209096194	4.18052636818156	2.28047433059323	0.0177924322592983	no	TBCK
1133	41.3127703102346	4.11446676231993	1.57445247561888	0.00418293713909629	yes	TBCK
219409	16.8874257037153	4.08595500422988	2.18996210216278	0.0168196645896705	no	TBCK
1277	5841.97438261528	-4.07161657942802	1.0621628073823	0.000120763043175185	yes	control
140453	22.162024954152	4.06742276102058	1.25445316180697	0.000713220776126957	yes	TBCK
102723828	48.6745963819833	-3.9708810066456	0.927276680546289	2.46394226597921e-05	yes	control
3218	23.1006594970374	3.94452936434197	2.14385982943898	0.0182825429061214	no	TBCK
24141	239.789536661889	3.91817491249064	1.35835875483825	0.00177324287206607	yes	TBCK
680	33.2255200971461	3.86842727597521	1.45272725856105	0.00309708678434855	yes	TBCK
116933	29.7928519129722	3.80402183920732	1.78259387271702	0.010843531277944	no	TBCK
55815	88.4739094585711	3.76022985113591	0.954101287375312	8.28610960085117e-05	yes	TBCK
388394	31.9485541679024	3.747463616652	1.47097733711112	0.00521790741068186	no	TBCK
6750	95.0915661444442	3.74124096083828	1.42173876189281	0.00438658441498684	yes	TBCK
389015	39.5252255000456	3.67966414256957	1.03238247093207	0.000371137420560899	yes	TBCK
2863	64.6336531157086	3.64944387696046	1.33443572091892	0.00284320175847179	yes	TBCK
1634	424.391605620209	-3.58330723388207	1.22076823442781	0.00158438957872664	yes	control
283731	113.617583822823	3.55986028375226	1.61027921307298	0.00936807747271901	no	TBCK
440915	13.0956082147188	3.52606475828926	2.4187110157221	0.0337727670479455	no	TBCK
6258	337.745771782529	3.52455052906008	1.15145397234639	0.00138492107626301	yes	TBCK
1132	179.564647887843	3.5081618819924	1.30026298768574	0.00333876753531293	yes	TBCK
85449	208.559076758252	-3.50473794638866	1.29960268571406	0.00377886695074993	yes	control
2248	35.2031993496127	3.44955829053364	2.25061544612581	0.0294904917486012	no	TBCK
63923	141.851082871653	-3.42525114263884	1.29506814403833	0.0047785949366488	yes	control
389197	248.533821106104	3.24036128823438	1.00174085880469	0.000962223746516948	yes	TBCK
7045	297.849505165014	-3.22653097794235	1.2704204347828	0.00612747181867532	no	control
107985820	87.3503892865732	3.15201495060066	1.16358788285817	0.00457941461913929	yes	TBCK
9628	378.652797118953	3.12964722344075	1.13847250680728	0.00398100829420006	yes	TBCK
26851	170.566733238114	3.11683689795913	0.610704156546927	3.43302374744625e-06	yes	TBCK
100505996	519.906606411442	3.10432992099794	1.26573317156589	0.0069602862563774	no	TBCK
7855	1614.53228391048	3.08679815665992	1.17696852371166	0.0054369587876119	no	TBCK
6492	121.353307201306	3.05710699143718	1.07381925502704	0.00261020081523406	yes	TBCK
57643	571.804691927521	3.04886499084842	1.17232630041845	0.00566643000148143	no	TBCK
137970	1284.62449877657	3.0236323180273	1.19534881195122	0.00638314597141619	no	TBCK
26002	607.051329333918	3.0015681402415	1.27954601137249	0.00825148961761024	no	TBCK
84189	711.104774879716	2.9323847110922	1.17836044728942	0.0066746061260325	no	TBCK
161394	228.017156108961	2.9148644260467	1.08557713647145	0.00499646008308466	yes	TBCK
1956	403.51371464304	2.8979150277569	0.971638513196683	0.00214629367229356	yes	TBCK
59335	103.039693290794	2.89282691077838	1.43168580224424	0.0153762458063488	no	TBCK
102216341	157.485440126712	2.86642656486053	1.27107480870417	0.0104674157316463	no	TBCK
345557	304.162904017627	2.83240195600281	1.22792874983798	0.00972703878719421	no	TBCK
285084	81.6037166014172	2.82891167067562	1.71169939169559	0.0259225267231287	no	TBCK
105	390.800650050004	2.82866626371617	0.928639027415709	0.00195258711268542	yes	TBCK
8516	109.59558404873	-2.82537556870548	1.00553622315435	0.00356568062560618	yes	control
341359	160.274488176776	2.79140578638651	1.48096758181422	0.019873400594405	no	TBCK
5077	208.6319634002	-2.68105354684082	0.707539768836929	0.000310763399963025	yes	control
345895	105.399794122866	2.64707353724922	1.13796746981584	0.0100882960178553	no	TBCK
388115	93.6549971652119	2.63666152134626	0.690811876440614	0.000239235190274268	yes	TBCK
729162	882.709519227984	2.59841243911897	0.513653396199665	8.07798390408229e-06	yes	TBCK
89846	210.228631494716	2.5813418838909	1.36934294536982	0.0214954038139086	no	TBCK
170692	137.936229345388	2.57849653145897	0.750118332445044	0.000835687338233814	yes	TBCK
400566	125.007351158314	2.5557936024749	1.12706763846977	0.0116004382841224	no	TBCK
7757	73.3636250515993	2.5513421418409	1.33572527074556	0.0204173270550159	no	TBCK
163223	25.4015514187058	2.5510532363389	2.45932036257785	0.0559124268036454	no	TBCK
8294	537.459758422106	2.54636298090707	1.24428308797923	0.0163346860165174	no	TBCK
256380	111.865690155496	2.53794877853669	1.31152089292628	0.0193335345431671	no	TBCK
107984328	47.2520083015863	2.52820973663747	0.987409979026449	0.00723739576251657	no	TBCK
284998	77.3099624029904	2.50151594382928	1.44571542944421	0.0245108768475692	no	TBCK
29951	279.730755091322	2.49884405355353	1.11089317748313	0.0123958023005808	no	TBCK
1735	177.818921364028	2.48491175104233	1.11538086712174	0.013187431513521	no	TBCK
100506076	873.82195457274	2.36587099338525	1.04914162472627	0.0135698627041802	no	TBCK
5380	43.2879725485219	2.35608798183428	3.99805177601026	0.0817970108039758	no	TBCK
9884	344.620081310591	2.31757552245033	0.905784822940841	0.00755316890251962	no	TBCK
147381	293.600141441138	2.31261309760825	1.383981899437	0.0301964779033348	no	TBCK
6869	41.668642628231	2.3105615454734	0.95088332813598	0.00899624964398724	no	TBCK
723790	946.759710999116	2.2920806433534	1.00369895662485	0.0127941288865424	no	TBCK
441733	23.5084688964889	2.28288718736085	2.63099863134998	0.0709246155578483	no	TBCK
643988	51.9448477897864	2.28013621111912	1.06285471544381	0.0148993578131478	no	TBCK
8362	800.68252877508	2.2784290567048	0.821780813638826	0.00589407980193061	no	TBCK
91543	21.9908247255822	2.27199866949631	1.36236284914614	0.0309037912789018	no	TBCK
6941	309.31154605467	2.25330237767561	0.995311504884284	0.0139621988321658	no	TBCK
4900	158.369391036666	2.247608612435	1.18255511852459	0.0226406018909762	no	TBCK
1719	1383.95269327966	2.24304864169137	0.942988365472873	0.0112129536816535	no	TBCK
219670	151.252786185237	2.22105168774766	1.35068264675082	0.0330338488117559	no	TBCK
101926917	40.8035002027654	2.17579017803075	1.23810076454773	0.0273139880452573	no	TBCK
57464	249.741628501695	2.16344783877908	1.33685513450888	0.0345093524699799	no	TBCK
102724594	1999.02173913914	-2.1443583640086	0.493915502152996	0.000155726271505572	yes	control
101669766	26.7460748684083	2.14261036688512	1.73469066683847	0.0488115255655657	no	TBCK
8325	1878.5514653534	2.10182577166657	1.08570829850058	0.023211871912139	no	TBCK
677775	149.679492697699	2.04208539382006	1.2886026273929	0.0389986523621178	no	TBCK
100302145	22.6302589461332	2.03841176772758	5.12182378384591	0.0875942439399762	no	TBCK
10901	187.489740373496	2.03365188721066	0.966802883720666	0.0187898979820813	no	TBCK
85495	102212.288265744	2.01449253847843	0.988878809507637	0.0209540679317776	no	TBCK
101929415	27.1103239925004	2.01323648241406	1.35195804954448	0.0420843223968136	no	TBCK
6656	5239.94919052548	1.99133886769507	1.08688527165468	0.0252143873197109	no	TBCK
150759	1033.12992076876	1.98233254431355	0.889549912334728	0.0158464217788008	no	TBCK
113622	95.9727760374273	1.94245164397282	1.33753600662747	0.0437881381548957	no	TBCK
